Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Packets/s,Flow Bytes/s,Avg Packet Size,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Fwd Packets Length Total,Bwd Packets Length Total,Flow IAT Mean,Flow IAT Std,Idle Mean,Protocol,is_anomaly
2724318,0,0,8.72e-07,66513761.46788991,58,0,1,0,0,1,0,0,0,0,8.433226830450002e-06,1.8512069761619622e-05,8.433226830450002e-06,TCP,True
2725243,0,0,9.25e-07,62702702.7027027,58,0,1,0,0,1,0,0,0,0,8.410877651638453e-06,1.848784343354553e-05,8.410877651638453e-06,TCP,True
2775838,0,0,1.335e-06,43445692.88389514,58,0,1,0,0,1,0,0,0,0,8.515785076866852e-06,1.8569748256622483e-05,8.515785076866852e-06,TCP,True
2776912,0,0,1.074e-06,54003724.39478584,58,0,1,0,0,1,0,0,0,0,8.49265935588685e-06,1.8546033317437634e-05,8.49265935588685e-06,TCP,True
2777748,0,0,8.359999999999999e-07,69377990.43062201,58,0,1,0,0,1,0,0,0,0,8.469674645400629e-06,1.8522404286101853e-05,8.469674645400629e-06,TCP,True
2778547,0,0,7.99e-07,72590738.42302878,58,0,1,0,0,1,0,0,0,0,8.44393095346932e-06,1.8500109291084702e-05,8.44393095346932e-06,TCP,True
2835454,0,0,1.366e-06,42459736.4568082,58,0,1,0,0,1,0,0,0,0,8.565061402104772e-06,1.8632809495571083e-05,8.565061402104772e-06,TCP,True
2836281,0,0,8.269999999999999e-07,70133010.8827086,58,0,1,0,0,1,0,0,0,0,8.542135537388811e-06,1.8609401765069832e-05,8.542135537388811e-06,TCP,True
2837219,0,0,9.38e-07,61833688.69936034,58,0,1,0,0,1,0,0,0,0,8.519347365554031e-06,1.8586077381729613e-05,8.519347365554031e-06,TCP,True
2838301,0,0,1.082e-06,53604436.229205176,58,0,1,0,0,1,0,0,0,0,8.497409477919161e-06,1.8562550400019e-05,8.497409477919161e-06,TCP,True
2839197,0,0,8.960000000000001e-07,64732142.85714286,58,0,1,0,0,1,0,0,0,0,8.474890865496736e-06,1.85393927271556e-05,8.474890865496736e-06,TCP,True
2840055,0,0,8.58e-07,67599067.5990676,58,0,1,0,0,1,0,0,0,0,8.452506292433965e-06,1.851631705133273e-05,8.452506292433965e-06,TCP,True
2910469,0,0,1.409e-06,41163946.0610362,58,0,1,0,0,1,0,0,0,0,8.584475446942985e-06,1.8713480699614373e-05,8.584475446942985e-06,TCP,True
2911686,0,0,1.217e-06,47658175.84223501,58,0,1,0,0,1,0,0,0,0,8.56483683866613e-06,1.8689438736526225e-05,8.56483683866613e-06,TCP,True
2912974,0,0,1.288e-06,45031055.90062112,58,0,1,0,0,1,0,0,0,0,8.542516713967419e-06,1.8666552395369017e-05,8.542516713967419e-06,TCP,True
2914318,0,0,1.344e-06,43154761.9047619,58,0,1,0,0,1,0,0,0,0,8.520327116313733e-06,1.864374555660651e-05,8.520327116313733e-06,TCP,True
2915483,0,0,1.165e-06,49785407.72532189,58,0,1,0,0,1,0,0,0,0,8.49896200196736e-06,1.8620740606661533e-05,8.49896200196736e-06,TCP,True
2916688,0,0,1.205e-06,48132780.082987554,58,0,1,0,0,1,0,0,0,0,8.479800335196561e-06,1.859704218593601e-05,8.479800335196561e-06,TCP,True
3016522,0,0,1.309e-06,44308632.543926656,58,0,1,0,0,1,0,0,0,0,8.691628315950331e-06,1.909397647553856e-05,8.691628315950331e-06,TCP,True
3020100,0,0,1.507e-06,38487060.3848706,58,0,1,0,0,1,0,0,0,0,8.653433070141812e-06,1.904583552645796e-05,8.653433070141812e-06,TCP,True
3021325,0,0,1.225e-06,47346938.77551021,58,0,1,0,0,1,0,0,0,0,8.631433759416852e-06,1.902304773988576e-05,8.631433759416852e-06,TCP,True
3022624,0,0,1.299e-06,44649730.56197075,58,0,1,0,0,1,0,0,0,0,8.609559800889758e-06,1.90003374469182e-05,8.609559800889758e-06,TCP,True
3024073,0,0,1.449e-06,40027605.24499655,58,0,1,0,0,1,0,0,0,0,8.591196753761984e-06,1.897644793453526e-05,8.591196753761984e-06,TCP,True
3142088,0,0,1.772e-06,32731376.9751693,58,0,1,0,0,1,0,0,0,0,8.826175432526661e-06,1.9409983518098872e-05,8.826175432526661e-06,TCP,True
3143487,0,0,1.399e-06,41458184.417441025,58,0,1,0,0,1,0,0,0,0,8.804123608671984e-06,1.938724482445489e-05,8.804123608671984e-06,TCP,True
3400022,0,0,9.77e-07,59365404.29887411,58,0,1,0,0,1,0,0,0,0,9.239367816759192e-06,2.028338609030447e-05,9.239367816759192e-06,TCP,True
3401833,0,0,1.811e-06,32026504.69353948,58,0,1,0,0,1,0,0,0,0,9.21949784607099e-06,2.0259469283360375e-05,9.21949784607099e-06,TCP,True
3403454,0,0,1.621e-06,35780382.479950644,58,0,1,0,0,1,0,0,0,0,9.197157782477302e-06,2.023662377513301e-05,9.197157782477302e-06,TCP,True
3404865,0,0,1.411e-06,41105598.86605245,58,0,1,0,0,1,0,0,0,0,9.178151338890878e-06,2.021263892708264e-05,9.178151338890878e-06,TCP,True
3405994,0,0,1.129e-06,51372896.36846767,58,0,1,0,0,1,0,0,0,0,9.156042529690653e-06,2.0189944582041995e-05,9.156042529690653e-06,TCP,True
